"ENSG" "neuroectoderm" "mesoderm" "endoderm"
"237" "ENSG00000056097" 0 1 1
"238" "ENSG00000056277" 0 0 1
"239" "ENSG00000056291" 0 0 1
"240" "ENSG00000056487" 1 0 0
"241" "ENSG00000056558" 0 0 1
"242" "ENSG00000056998" 0 0 1
"243" "ENSG00000057149" 0 1 0
"244" "ENSG00000057663" 0 1 1
"245" "ENSG00000058063" 0 0 1
"246" "ENSG00000058262" 0 1 0
"247" "ENSG00000058600" 0 1 0
"248" "ENSG00000058673" 1 0 0
"249" "ENSG00000058804" 0 1 0
"250" "ENSG00000059122" 0 0 1
"251" "ENSG00000059145" 0 0 1
"252" "ENSG00000059377" 0 0 1
"253" "ENSG00000059728" 0 1 0
"254" "ENSG00000060237" 0 0 1
"255" "ENSG00000060642" 1 0 0
"256" "ENSG00000060688" 1 0 0
"257" "ENSG00000060762" 0 0 1
"258" "ENSG00000061936" 1 0 0
"259" "ENSG00000061938" 1 0 0
"260" "ENSG00000061987" 0 0 1
"261" "ENSG00000062282" 1 0 0
"262" "ENSG00000062485" 0 0 1
"263" "ENSG00000062650" 0 0 1
"264" "ENSG00000062822" 1 0 0
"265" "ENSG00000063169" 1 0 1
"266" "ENSG00000063177" 0 0 1
"267" "ENSG00000063244" 0 1 0
"268" "ENSG00000063322" 0 0 1
"269" "ENSG00000063438" 1 0 1
"270" "ENSG00000063761" 1 0 0
"271" "ENSG00000064205" 0 1 0
"272" "ENSG00000064218" 1 0 0
"273" "ENSG00000064300" 1 0 0
"274" "ENSG00000064309" 0 0 1
"275" "ENSG00000064666" 0 1 0
"276" "ENSG00000064687" 1 0 0
"277" "ENSG00000064763" 1 0 0
"278" "ENSG00000064961" 0 1 0
"279" "ENSG00000065325" 1 0 0
"280" "ENSG00000065328" 1 0 1
"281" "ENSG00000065427" 0 1 0
"282" "ENSG00000065457" 0 1 1
"283" "ENSG00000065491" 0 1 0
"284" "ENSG00000065518" 0 1 0
"285" "ENSG00000065559" 0 1 1
"286" "ENSG00000065615" 0 0 1
"287" "ENSG00000065618" 0 0 1
"288" "ENSG00000065621" 1 0 0
"289" "ENSG00000065665" 0 1 0
"290" "ENSG00000065802" 0 0 1
"291" "ENSG00000065809" 0 0 1
"292" "ENSG00000065911" 0 0 1
"293" "ENSG00000065923" 1 0 0
"294" "ENSG00000065978" 1 0 0
"295" "ENSG00000066032" 1 0 0
"296" "ENSG00000066044" 1 1 1
"297" "ENSG00000066117" 0 0 1
"298" "ENSG00000066248" 0 0 1
"299" "ENSG00000066379" 1 0 0
"300" "ENSG00000066382" 0 0 1
"301" "ENSG00000066405" 0 1 0
"302" "ENSG00000066468" 0 0 1
"303" "ENSG00000066583" 0 1 0
"304" "ENSG00000066697" 0 1 0
"305" "ENSG00000066827" 1 0 0
"306" "ENSG00000066926" 0 0 1
"307" "ENSG00000067057" 1 0 0
"308" "ENSG00000067064" 0 1 0
"309" "ENSG00000067248" 0 1 1
"310" "ENSG00000067369" 1 1 0
"311" "ENSG00000067445" 1 1 0
"312" "ENSG00000067533" 1 0 0
"313" "ENSG00000067560" 0 1 1
"314" "ENSG00000067606" 1 0 0
"315" "ENSG00000067842" 0 1 0
"316" "ENSG00000068097" 0 1 0
"317" "ENSG00000068120" 0 1 1
"318" "ENSG00000068323" 0 1 0
"319" "ENSG00000068366" 1 0 1
"320" "ENSG00000068654" 0 1 0
"321" "ENSG00000068724" 0 1 0
"322" "ENSG00000068796" 0 1 0
"323" "ENSG00000068831" 0 1 0
"324" "ENSG00000068903" 0 0 1
"325" "ENSG00000068976" 1 1 0
"326" "ENSG00000069248" 1 1 0
"327" "ENSG00000069275" 0 1 0
"328" "ENSG00000069345" 0 1 0
"329" "ENSG00000069399" 0 1 0
"330" "ENSG00000069696" 0 0 1
"331" "ENSG00000069966" 0 1 0
"332" "ENSG00000070018" 1 1 1
"333" "ENSG00000070061" 0 1 0
"334" "ENSG00000070081" 1 0 0
"335" "ENSG00000070087" 1 0 0
"336" "ENSG00000070182" 0 0 1
"337" "ENSG00000070269" 0 1 0
"338" "ENSG00000070366" 0 1 0
"339" "ENSG00000070367" 0 0 1
"340" "ENSG00000070404" 1 0 0
"341" "ENSG00000070423" 0 0 1
"342" "ENSG00000070526" 0 1 0
"343" "ENSG00000070540" 0 1 0
"344" "ENSG00000070614" 1 1 0
"345" "ENSG00000070759" 0 1 0
"346" "ENSG00000070814" 0 1 0
"347" "ENSG00000070915" 0 1 0
"348" "ENSG00000070985" 1 0 0
"349" "ENSG00000071054" 0 0 1
"350" "ENSG00000071127" 0 0 1
"351" "ENSG00000071205" 0 0 1
"352" "ENSG00000071462" 0 1 0
"353" "ENSG00000071537" 0 0 1
"354" "ENSG00000071539" 0 0 1
"355" "ENSG00000071553" 1 0 0
"356" "ENSG00000071564" 0 1 0
"357" "ENSG00000071626" 0 0 1
"358" "ENSG00000071859" 0 0 1
"359" "ENSG00000071967" 1 0 0
"360" "ENSG00000072071" 0 0 1
"361" "ENSG00000072110" 0 1 0
"362" "ENSG00000072182" 1 0 1
"363" "ENSG00000072201" 0 0 1
"364" "ENSG00000072210" 0 1 1
"365" "ENSG00000072364" 0 0 1
"366" "ENSG00000072422" 1 0 0
"367" "ENSG00000072818" 0 0 1
"368" "ENSG00000072849" 0 0 1
"369" "ENSG00000072864" 0 1 0
"370" "ENSG00000072954" 0 1 0
"371" "ENSG00000073111" 0 0 1
"372" "ENSG00000073169" 1 0 0
"373" "ENSG00000073331" 0 1 0
"374" "ENSG00000073350" 0 0 1
"375" "ENSG00000073536" 1 0 0
"376" "ENSG00000073578" 1 0 0
"377" "ENSG00000073614" 1 0 1
"378" "ENSG00000073712" 0 0 1
"379" "ENSG00000073734" 1 0 0
"380" "ENSG00000073792" 0 0 1
"381" "ENSG00000073803" 1 0 0
"382" "ENSG00000073910" 0 0 1
"383" "ENSG00000074181" 1 1 0
"384" "ENSG00000074266" 1 0 0
"385" "ENSG00000074317" 0 1 0
"386" "ENSG00000074370" 1 0 0
"387" "ENSG00000074527" 1 1 0
"388" "ENSG00000074582" 0 0 1
"389" "ENSG00000074696" 1 0 0
"390" "ENSG00000074800" 1 0 1
"391" "ENSG00000074855" 1 0 0
"392" "ENSG00000074964" 0 1 0
"393" "ENSG00000075188" 1 1 0
"394" "ENSG00000075275" 0 1 0
"395" "ENSG00000075290" 0 0 1
"396" "ENSG00000075340" 0 0 1
"397" "ENSG00000075388" 0 1 0
"398" "ENSG00000075415" 0 0 1
"399" "ENSG00000075420" 1 0 1
"400" "ENSG00000075429" 0 1 0
"401" "ENSG00000075539" 0 0 1
"402" "ENSG00000075790" 1 0 0
"403" "ENSG00000075856" 0 0 1
"404" "ENSG00000075886" 0 0 1
"405" "ENSG00000075891" 0 0 1
"406" "ENSG00000075914" 1 0 0
"407" "ENSG00000075945" 1 0 0
"408" "ENSG00000075975" 0 1 0
"409" "ENSG00000076043" 0 0 1
"410" "ENSG00000076053" 0 1 0
"411" "ENSG00000076201" 0 0 1
"412" "ENSG00000076258" 0 0 1
"413" "ENSG00000076321" 0 1 0
"414" "ENSG00000076513" 1 0 0
"415" "ENSG00000076604" 0 0 1
"416" "ENSG00000076650" 0 0 1
"417" "ENSG00000076662" 0 0 1
"418" "ENSG00000076864" 0 0 1
"419" "ENSG00000076984" 1 0 1
"420" "ENSG00000077097" 0 0 1
"421" "ENSG00000077147" 0 1 0
"422" "ENSG00000077152" 0 1 1
"423" "ENSG00000077238" 1 0 0
"424" "ENSG00000077264" 1 0 0
"425" "ENSG00000077420" 1 0 0
"426" "ENSG00000077454" 0 0 1
"427" "ENSG00000077549" 0 0 1
"428" "ENSG00000077782" 1 1 1
"429" "ENSG00000077942" 0 0 1
"430" "ENSG00000077984" 1 0 0
"431" "ENSG00000078018" 0 0 1
"432" "ENSG00000078114" 0 1 0
"433" "ENSG00000078140" 0 1 0
"434" "ENSG00000078246" 1 0 0
"435" "ENSG00000078269" 0 0 1
"436" "ENSG00000078295" 0 0 1
"437" "ENSG00000078579" 0 1 0
"438" "ENSG00000078687" 0 1 0
"439" "ENSG00000078795" 0 0 1
"440" "ENSG00000078808" 1 0 0
"441" "ENSG00000078814" 0 1 0
"442" "ENSG00000078898" 0 0 1
"443" "ENSG00000079112" 0 0 1
"444" "ENSG00000079134" 0 1 0
"445" "ENSG00000079150" 1 0 0
"446" "ENSG00000079277" 1 0 1
"447" "ENSG00000079332" 0 1 0
"448" "ENSG00000079387" 1 0 0
"449" "ENSG00000079393" 0 1 1
"450" "ENSG00000079462" 0 0 1
"451" "ENSG00000079482" 0 1 0
"452" "ENSG00000079557" 0 0 1
"453" "ENSG00000079805" 1 1 0
"454" "ENSG00000079950" 0 0 1
"455" "ENSG00000079974" 0 1 1
"456" "ENSG00000080007" 1 0 0
"457" "ENSG00000080345" 0 1 1
"458" "ENSG00000080493" 1 0 0
"459" "ENSG00000080503" 0 1 0
"460" "ENSG00000080546" 1 1 0
"461" "ENSG00000080644" 0 1 0
"462" "ENSG00000080815" 0 0 1
"463" "ENSG00000080819" 0 0 1
"464" "ENSG00000080839" 0 1 0
"465" "ENSG00000080845" 1 0 0
"466" "ENSG00000080986" 0 0 1
"467" "ENSG00000081154" 0 0 1
"468" "ENSG00000081177" 0 1 0
"469" "ENSG00000081181" 0 1 1
"470" "ENSG00000081248" 1 0 0
"471" "ENSG00000081721" 0 0 1
"472" "ENSG00000081853" 1 0 0
"473" "ENSG00000081923" 0 0 1
"474" "ENSG00000082014" 0 0 1
"475" "ENSG00000082258" 0 0 1
"476" "ENSG00000082293" 1 0 0
"477" "ENSG00000082438" 1 0 0
"478" "ENSG00000082512" 1 0 0
"479" "ENSG00000082556" 1 0 0
"480" "ENSG00000082641" 0 1 0
"481" "ENSG00000082684" 0 1 0
"482" "ENSG00000082701" 1 0 1
"483" "ENSG00000082898" 1 1 1
"484" "ENSG00000082996" 0 0 1
"485" "ENSG00000083444" 0 0 1
"486" "ENSG00000083454" 0 1 1
"487" "ENSG00000083535" 1 0 0
"488" "ENSG00000083635" 0 0 1
"489" "ENSG00000083799" 1 0 0
"490" "ENSG00000083814" 0 0 1
"491" "ENSG00000083896" 1 1 0
"492" "ENSG00000083937" 1 1 0
"493" "ENSG00000084234" 0 0 1
"494" "ENSG00000084453" 0 1 0
"495" "ENSG00000084463" 0 1 1
"496" "ENSG00000084710" 0 1 0
"497" "ENSG00000084733" 0 0 1
"498" "ENSG00000084774" 1 0 0
"499" "ENSG00000085231" 0 0 1
"500" "ENSG00000085274" 0 1 0
"501" "ENSG00000085382" 0 1 0
"502" "ENSG00000085465" 0 1 0
"503" "ENSG00000085563" 1 0 0
"504" "ENSG00000085733" 0 1 0
"505" "ENSG00000085872" 1 0 0
"506" "ENSG00000086102" 1 0 0
"507" "ENSG00000086289" 0 0 1
"508" "ENSG00000086504" 0 0 1
"509" "ENSG00000086598" 1 1 0
"510" "ENSG00000086666" 0 1 0
"511" "ENSG00000086712" 0 0 1
"512" "ENSG00000086730" 0 0 1
"513" "ENSG00000086848" 0 0 1
"514" "ENSG00000086991" 0 0 1
"515" "ENSG00000087053" 0 1 0
"516" "ENSG00000087088" 0 1 1
"517" "ENSG00000087111" 0 1 0
"518" "ENSG00000087116" 0 0 1
"519" "ENSG00000087237" 0 0 1
"520" "ENSG00000087245" 0 0 1
"521" "ENSG00000087253" 1 1 0
"522" "ENSG00000087269" 0 1 1
"523" "ENSG00000087302" 1 0 0
"524" "ENSG00000087338" 0 0 1
"525" "ENSG00000087365" 0 0 1
"526" "ENSG00000087460" 0 0 1
"527" "ENSG00000087470" 0 0 1
"528" "ENSG00000087494" 1 0 0
"529" "ENSG00000087586" 0 0 1
"530" "ENSG00000087842" 0 1 0
"531" "ENSG00000087884" 1 0 0
"532" "ENSG00000087903" 1 0 0
"533" "ENSG00000087916" 0 0 1
"534" "ENSG00000088035" 1 0 0
"535" "ENSG00000088179" 0 0 1
"536" "ENSG00000088205" 0 0 1
"537" "ENSG00000088325" 1 1 1
"538" "ENSG00000088356" 1 0 1
"539" "ENSG00000088682" 0 0 1
"540" "ENSG00000088826" 0 1 0
"541" "ENSG00000088827" 1 0 0
"542" "ENSG00000088876" 1 0 0
"543" "ENSG00000088881" 0 0 1
"544" "ENSG00000088930" 1 0 0
"545" "ENSG00000088992" 0 1 0
"546" "ENSG00000089009" 1 0 0
"547" "ENSG00000089050" 1 1 0
"548" "ENSG00000089053" 1 0 1
"549" "ENSG00000089101" 0 1 0
"550" "ENSG00000089123" 0 0 1
"551" "ENSG00000089163" 0 0 1
"552" "ENSG00000089169" 1 0 0
"553" "ENSG00000089250" 0 0 1
"554" "ENSG00000089289" 0 0 1
"555" "ENSG00000089327" 0 1 0
"556" "ENSG00000089597" 1 0 1
"557" "ENSG00000089639" 0 1 0
"558" "ENSG00000089723" 0 0 1
"559" "ENSG00000089737" 1 1 0
"560" "ENSG00000089775" 0 0 1
"561" "ENSG00000089818" 0 1 0
"562" "ENSG00000089820" 1 0 0
"563" "ENSG00000089847" 0 1 0
"564" "ENSG00000089916" 0 0 1
"565" "ENSG00000090104" 1 0 0
"566" "ENSG00000090266" 0 0 1
"567" "ENSG00000090273" 0 1 0
"568" "ENSG00000090372" 0 0 1
"569" "ENSG00000090512" 0 0 1
"570" "ENSG00000090520" 0 0 1
"571" "ENSG00000090534" 0 0 1
"572" "ENSG00000090539" 0 0 1
"573" "ENSG00000090554" 0 1 0
"574" "ENSG00000090861" 0 1 0
"575" "ENSG00000090924" 0 0 1
"576" "ENSG00000090989" 0 0 1
"577" "ENSG00000091129" 0 1 0
"578" "ENSG00000091136" 0 0 1
"579" "ENSG00000091140" 0 1 0
"580" "ENSG00000091157" 1 0 0
"581" "ENSG00000091164" 0 1 0
"582" "ENSG00000091409" 0 1 0
"583" "ENSG00000091483" 0 1 0
"584" "ENSG00000091542" 1 0 0
"585" "ENSG00000091622" 0 1 1
"586" "ENSG00000091704" 0 1 0
"587" "ENSG00000091844" 0 0 1
"588" "ENSG00000092010" 0 1 0
"589" "ENSG00000092067" 0 1 1
"590" "ENSG00000092094" 1 0 0
"591" "ENSG00000092098" 0 1 1
"592" "ENSG00000092108" 1 0 0
"593" "ENSG00000092203" 0 0 1
"594" "ENSG00000092377" 0 1 0
"595" "ENSG00000092421" 1 0 0
"596" "ENSG00000092445" 1 0 1
"597" "ENSG00000092531" 0 1 0
"598" "ENSG00000092820" 0 1 0
"599" "ENSG00000092850" 1 0 0
"600" "ENSG00000092853" 0 1 0
"601" "ENSG00000092929" 1 0 0
"602" "ENSG00000092931" 0 0 1
"603" "ENSG00000093010" 1 0 0
"604" "ENSG00000093167" 0 1 0
"605" "ENSG00000094631" 1 0 0
"606" "ENSG00000095059" 1 0 0
"607" "ENSG00000095066" 1 1 0
"608" "ENSG00000095139" 1 0 0
"609" "ENSG00000095209" 0 0 1
"610" "ENSG00000095261" 0 0 1
"611" "ENSG00000095397" 0 0 1
"612" "ENSG00000095587" 1 0 0
"613" "ENSG00000095596" 1 0 0
"614" "ENSG00000095627" 0 0 1
"615" "ENSG00000095906" 1 0 0
"616" "ENSG00000096060" 0 0 1
"617" "ENSG00000096063" 0 0 1
"618" "ENSG00000096088" 0 1 0
"619" "ENSG00000096093" 1 0 0
"620" "ENSG00000096384" 1 0 0
"621" "ENSG00000096696" 1 0 0
"622" "ENSG00000097033" 1 0 0
"623" "ENSG00000099194" 0 0 1
"624" "ENSG00000099203" 0 0 1
"625" "ENSG00000099246" 1 0 0
"626" "ENSG00000099282" 0 0 1
"627" "ENSG00000099331" 0 0 1
"628" "ENSG00000099338" 1 0 0
"629" "ENSG00000099364" 0 1 0
"630" "ENSG00000099365" 0 1 0
"631" "ENSG00000099381" 1 0 0
"632" "ENSG00000099622" 0 1 0
"633" "ENSG00000099795" 0 0 1
"634" "ENSG00000099804" 0 0 1
"635" "ENSG00000099814" 0 0 1
"636" "ENSG00000099834" 1 0 0
"637" "ENSG00000099849" 0 0 1
"638" "ENSG00000099866" 1 0 0
"639" "ENSG00000099901" 1 0 1
"640" "ENSG00000099917" 0 0 1
"641" "ENSG00000099940" 1 0 0
"642" "ENSG00000099956" 0 0 1
"643" "ENSG00000099995" 0 1 1
"644" "ENSG00000100028" 0 0 1
"645" "ENSG00000100034" 0 1 0
"646" "ENSG00000100036" 0 0 1
"647" "ENSG00000100065" 0 0 1
"648" "ENSG00000100075" 1 1 1
"649" "ENSG00000100079" 1 0 1
"650" "ENSG00000100084" 0 0 1
"651" "ENSG00000100097" 0 0 1
"652" "ENSG00000100100" 0 0 1
"653" "ENSG00000100101" 0 1 0
"654" "ENSG00000100105" 0 1 0
"655" "ENSG00000100106" 1 1 0
"656" "ENSG00000100116" 0 0 1
"657" "ENSG00000100121" 1 0 0
"658" "ENSG00000100129" 0 1 1
"659" "ENSG00000100138" 1 0 0
"660" "ENSG00000100142" 0 1 0
"661" "ENSG00000100147" 1 0 0
"662" "ENSG00000100151" 0 1 0
"663" "ENSG00000100162" 0 1 1
"664" "ENSG00000100170" 1 0 0
"665" "ENSG00000100191" 1 0 0
"666" "ENSG00000100196" 1 0 0
"667" "ENSG00000100207" 0 0 1
"668" "ENSG00000100211" 1 0 0
"669" "ENSG00000100218" 0 0 1
"670" "ENSG00000100228" 1 0 1
"671" "ENSG00000100243" 0 0 1
"672" "ENSG00000100246" 0 1 1
"673" "ENSG00000100249" 1 0 0
"674" "ENSG00000100258" 0 0 1
"675" "ENSG00000100271" 1 0 0
"676" "ENSG00000100280" 0 0 1
"677" "ENSG00000100299" 0 1 0
"678" "ENSG00000100300" 0 1 0
"679" "ENSG00000100307" 0 0 1
"680" "ENSG00000100319" 0 0 1
"681" "ENSG00000100335" 1 1 0
"682" "ENSG00000100346" 0 0 1
"683" "ENSG00000100350" 0 0 1
"684" "ENSG00000100359" 1 1 0
"685" "ENSG00000100368" 0 0 1
"686" "ENSG00000100376" 0 0 1
"687" "ENSG00000100387" 0 1 0
"688" "ENSG00000100393" 1 0 0
"689" "ENSG00000100395" 0 0 1
"690" "ENSG00000100418" 0 1 0
"691" "ENSG00000100422" 1 0 0
"692" "ENSG00000100425" 0 1 1
"693" "ENSG00000100433" 1 0 0
"694" "ENSG00000100445" 0 0 1
"695" "ENSG00000100462" 0 0 1
"696" "ENSG00000100478" 1 0 1
"697" "ENSG00000100503" 1 1 0
